request	Target_District:token	Target_District:id	Target_District	#_of_Records	Total_$
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=40	is-t-tdis	40	40	7	9360.51
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=85	is-t-tdis	85	85	3	9242.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=26	is-t-tdis	26	26	4	8381.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=15	is-t-tdis	15	15	3	7934.17
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=4	is-t-tdis	4	4	2	7884.66
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=114	is-t-tdis	114	114	3	7500.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=86	is-t-tdis	86	86	4	6922.88
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=65	is-t-tdis	65	65	5	6577.54
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=87	is-t-tdis	87	87	4	6518.08
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=119	is-t-tdis	119	119	2	6125.12
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=64	is-t-tdis	64	64	1	5998.77
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=78	is-t-tdis	78	78	8	5358.43
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=37	is-t-tdis	37	37	7	5033.51
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=120	is-t-tdis	120	120	1	5000.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=29	is-t-tdis	29	29	1	5000.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=61	is-t-tdis	61	61	1	4249.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=18	is-t-tdis	18	18	3	4200.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=H52	is-t-tdis	H52	H52	1	4077.59
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=H53	is-t-tdis	H53	H53	1	3847.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=H27	is-t-tdis	H27	H27	2	2970.40
