request	Election_Jurisdiction:token	Election_Jurisdiction:id	Election_Jurisdiction	Election_Year:token	Election_Year:id	Election_Year	Election_Type:token	Election_Type:id	Election_Type	Office_Sought:token	Office_Sought:id	Office_Sought	#_of_Records	Total_$
s=NC&c-exi=1&c-r-ot=S&c-r-id=17988	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4855	"SENATE DISTRICT 025"	324	111743.92
s=NC&c-exi=1&c-r-ot=S&c-r-id=49658	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4847	"SENATE DISTRICT 017"	221	111480.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=18006	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4869	"SENATE DISTRICT 039"	210	108416.62
s=NC&c-exi=1&c-r-ot=S&c-r-id=6946	s	NC	NC	y	1998	1998	c-r-t	1	Standard	c-r-osid	4835	"SENATE DISTRICT 005"	218	108012.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=6951	s	NC	NC	y	1998	1998	c-r-t	1	Standard	c-r-osid	4857	"SENATE DISTRICT 027"	250	107854.51
s=NC&c-exi=1&c-r-ot=S&c-r-id=23597	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4859	"SENATE DISTRICT 029"	230	106867.75
s=NC&c-exi=1&c-r-ot=S&c-r-id=33138	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4837	"SENATE DISTRICT 007"	264	106613.47
s=NC&c-exi=1&c-r-ot=S&c-r-id=38863	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4854	"SENATE DISTRICT 024"	261	105644.99
s=NC&c-exi=1&c-r-ot=S&c-r-id=61085	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4853	"SENATE DISTRICT 023"	907	105630.97
s=NC&c-exi=1&c-r-ot=S&c-r-id=4865	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4866	"SENATE DISTRICT 036"	134	105164.43
s=NC&c-exi=1&c-r-ot=S&c-r-id=55168	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4873	"SENATE DISTRICT 043"	215	104314.65
s=NC&c-exi=1&c-r-ot=S&c-r-id=61065	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4833	"SENATE DISTRICT 003"	173	103243.55
s=NC&c-exi=1&c-r-ot=S&c-r-id=23582	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4834	"SENATE DISTRICT 004"	241	103228.42
s=NC&c-exi=1&c-r-ot=S&c-r-id=47628	s	NC	NC	y	1998	1998	c-r-t	1	Standard	c-r-osid	4834	"SENATE DISTRICT 004"	201	103040.94
s=NC&c-exi=1&c-r-ot=S&c-r-id=61107	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4875	"SENATE DISTRICT 045"	272	102913.74
s=NC&c-exi=1&c-r-ot=S&c-r-id=12779	s	NC	NC	y	2010	2010	c-r-t	1	Standard	c-r-osid	4852	"SENATE DISTRICT 022"	289	102900.54
s=NC&c-exi=1&c-r-ot=S&c-r-id=14859	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4863	"SENATE DISTRICT 033"	164	102812.57
s=NC&c-exi=1&c-r-ot=S&c-r-id=7808	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4856	"SENATE DISTRICT 026"	310	102560.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=23591	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4870	"SENATE DISTRICT 040"	320	102383.22
s=NC&c-exi=1&c-r-ot=S&c-r-id=70666	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4861	"SENATE DISTRICT 031"	139	102302.10
s=NC&c-exi=1&c-r-ot=S&c-r-id=4877	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4853	"SENATE DISTRICT 023"	221	102197.41
s=NC&c-exi=1&c-r-ot=S&c-r-id=33089	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4864	"SENATE DISTRICT 034"	97	100729.52
s=NC&c-exi=1&c-r-ot=S&c-r-id=61100	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4868	"SENATE DISTRICT 038"	253	100672.14
s=NC&c-exi=1&c-r-ot=S&c-r-id=61093	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4861	"SENATE DISTRICT 031"	275	99327.12
s=NC&c-exi=1&c-r-ot=S&c-r-id=31330	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4855	"SENATE DISTRICT 025"	199	99263.88
s=NC&c-exi=1&c-r-ot=S&c-r-id=14438	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4868	"SENATE DISTRICT 038"	389	98444.95
s=NC&c-exi=1&c-r-ot=S&c-r-id=23593	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4840	"SENATE DISTRICT 010"	231	98431.53
s=NC&c-exi=1&c-r-ot=S&c-r-id=9764	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4865	"SENATE DISTRICT 035"	145	98202.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=70713	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4834	"SENATE DISTRICT 004"	420	96874.68
s=NC&c-exi=1&c-r-ot=S&c-r-id=35254	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4847	"SENATE DISTRICT 017"	164	96050.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=55153	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4844	"SENATE DISTRICT 014"	102	96008.95
