request	Election_Jurisdiction:token	Election_Jurisdiction:id	Election_Jurisdiction	Election_Year:token	Election_Year:id	Election_Year	Election_Type:token	Election_Type:id	Election_Type	Office_Sought:token	Office_Sought:id	Office_Sought	#_of_Records	Total_$
s=NC&c-exi=1&c-r-ot=H&c-r-id=42276	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4815	"HOUSE DISTRICT 106"	44	26602.22
s=NC&c-exi=1&c-r-ot=H&c-r-id=1065	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4770	"HOUSE DISTRICT 061"	202	26565.21
s=NC&c-exi=1&c-r-ot=H&c-r-id=1066	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4716	"HOUSE DISTRICT 007"	82	26515.37
s=NC&c-exi=1&c-r-ot=H&c-r-id=51230	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4757	"HOUSE DISTRICT 048"	82	26412.22
s=NC&c-exi=1&c-r-ot=H&c-r-id=9798	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4801	"HOUSE DISTRICT 092"	35	26400.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=12902	s	NC	NC	y	2010	2010	c-r-t	1	Standard	c-r-osid	4779	"HOUSE DISTRICT 070"	55	26400.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=33101	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4800	"HOUSE DISTRICT 091"	52	26397.98
s=NC&c-exi=1&c-r-ot=H&c-r-id=28319	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4739	"HOUSE DISTRICT 030"	250	26335.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=45549	s	NC	NC	y	2000	2000	c-r-t	1	Standard	c-r-osid	4738	"HOUSE DISTRICT 029"	78	26315.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=70792	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4768	"HOUSE DISTRICT 059"	62	26269.13
